Scan codes Set 2			Scan codes Set 1		
KEY	MAKE	BREAK	KEY	MAKE	BREAK
0	45	F0,45	0	0B	8B
1	16	F0,16	1	02	82
2	1E	F0,1E	2	03	83
3	26	F0,26	3	04	84
4	25	F0,25	4	05	85
5	2E	F0,2E	5	06	86
6	36	F0,36	6	07	87
7	3D	F0,3D	7	08	88
8	3E	F0,3E	8	09	89
9	46	F0,46	9	0A	8A
	52	F0,52		28	A8
-	4E	F0,4E	-	0C	8C
,	41	F0,41	,	33	B3
;	4C	F0,4C	;	27	A7
.	49	F0,49	.	34	B4
[	54	FO,54	[	1A	9A
]	5B	F0,5B	]	1B	9B
/	4A	F0,4A	/	35	B5
\	5D	F0,5D	\	2B	AB
`	0E	F0,0E	`	29	89
=	55	FO,55	=	0D	8D
A	1C	F0,1C	A	1E	9E
APPS	E0,2F	E0,F0,2F	APPS	E0,5D	E0,DD
B	32	F0,32	B	30	B0
BKSP	66	F0,66	BKSP	0E	8E
C	21	F0,21	C	2E	AE
Calculator	E0,2B	E0,F0,2B	Calculator	E0, 21	E0, A1
CAPS	58	F0,58	CAPS	3A	BA
D	23	F0,23	D	20	A0
D ARROW	E0,72	E0,F0,72	D ARROW	E0,50	E0,D0
DELETE	E0,71	E0,F0,71	DELETE	E0,53	E0,D3
E	24	F0,24	E	12	92
E-Mail	E0,48	E0,F0,48	E-Mail	E0, 6C	E0, EC
END	E0,69	E0,F0,69	END	E0,4F	E0,CF
ENTER	5A	F0,5A	ENTER	1C	9C
ESC	76	F0,76	ESC	01	81
F	2B	F0,2B	F	21	A1
F1	05	F0,05	F1	3B	BB
F10	09	F0,09	F10	44	C4
F11	78	F0,78	F11	57	D7
F12	07	F0,07	F12	58	D8
F2	06	F0,06	F2	3C	BC
F3	04	F0,04	F3	3D	BD
F4	0C	F0,0C	F4	3E	BE
F5	03	F0,03	F5	3F	BF
F6	0B	F0,0B	F6	40	C0
F7	83	F0,83	F7	41	C1
F8	0A	F0,0A	F8	42	C2
F9	01	F0,01	F9	43	C3
G	34	F0,34	G	22	A2
H	33	F0,33	H	23	A3
HOME	E0,6C	E0,F0,6C	HOME	E0,47	E0,97
I	43	F0,43	I	17	97
INSERT	E0,70	E0,F0,70	INSERT	E0,52	E0,D2
J	3B	F0,3B	J	24	A4
K	42	F0,42	K	25	A5
KP -	7B	F0,7B	KP -	4A	CA
KP .	71	F0,71	KP .	53	D3
KP *	7C	F0,7C	KP *	37	B7
KP /	E0,4A	E0,F0,4A	KP /	E0,35	E0,B5
KP +	79	F0,79	KP +	4E	CE
KP 0	70	F0,70	KP 0	52	D2
KP 1	69	F0,69	KP 1	4F	CF
KP 2	72	F0,72	KP 2	50	D0
KP 3	7A	F0,7A	KP 3	51	D1
KP 4	6B	F0,6B	KP 4	4B	CB
KP 5	73	F0,73	KP 5	4C	CC
KP 6	74	F0,74	KP 6	4D	CD
KP 7	6C	F0,6C	KP 7	47	C7
KP 8	75	F0,75	KP 8	48	C8
KP 9	7D	F0,7D	KP 9	49	C9
KP EN	E0,5A	E0,F0,5A	KP EN	E0,1C	E0,9C
L	4B	F0,4B	L	26	A6
L ALT	11	F0,11	L ALT	38	B8
L ARROW	E0,6B	E0,F0,6B	L ARROW	E0,4B	E0,CB
L CTRL	14	FO,14	L CTRL	1D	9D
L GUI	E0,1F	E0,F0,1F	L GUI	E0,5B	E0,DB
L SHFT	12	FO,12	L SHFT	2A	AA
M	3A	F0,3A	M	32	B2
Media Select	E0,50	E0,F0,50	Media Select	E0, 6D	E0, ED
Mute	E0,23	E0,F0,23	Mute	E0, 20	E0, A0
My Computer	E0,40	E0,F0,40	My Computer	E0, 6B	E0, EB
N	31	F0,31	N	31	B1
Next Track	E0,4D	E0,F0,4D	Next Track	E0, 19	E0, 99
NUM	77	F0,77	NUM	45	C5
O	44	F0,44	O	18	98
P	4D	F0,4D	P	19	99
PAUSE	E1,14,77	E1,F0,14,F0,77	PAUSE	E1,1D,45 	E1,9D,C5
PG DN	E0,7A	E0,F0,7A	PG DN	E0,51	E0,D1
PG UP	E0,7D	E0,F0,7D	PG UP	E0,49	E0,C9
Play/Pause	E0,34	E0,F0,34	Play/Pause	E0, 22	E0, A2
Power	E0,37	E0,F0,37	Power	E0, 5E	E0, DE
Previous Track	E0,15	E0,F0,15	Previous Track	E0,10	E0,90
PRNT SCRN (Part 1)	E0,12	E0,F0,12	PRNT SCRN (Part 1)	E0,2A	E0,AA
PRNT SCRN (Part 2)	E0,7C	E0,F0,7C	PRNT SCRN (Part 2)	E0,37	E0,B7
Q	15	F0,15	Q	10	90
R	2D	F0,2D	R	13	93
R ALT	E0,11	E0,F0,11	R ALT	E0,38	E0,B8
R ARROW	E0,74	E0,F0,74	R ARROW	E0,4D	E0,CD
R CTRL	E0,14	E0,F0,14	R CTRL	E0,1D	E0,9D
R GUI	E0,27	E0,F0,27	R GUI	E0,5C	E0,DC
R SHFT	59	F0,59	R SHFT	36	B6
S	1B	F0,1B	S	1F	9F
SCROLL	7E	F0,7E	SCROLL	46	C6
Sleep	E0,3F	E0,F0,3F	Sleep	E0, 5F	E0, DF
SPACE	29	F0,29	SPACE	39	B9
Stop	E0,3B	E0,F0,3B	Stop	E0, 24	E0, A4
T	2C	F0,2C	T	14	94
TAB	0D	F0,0D	TAB	0F	8F
U	3C	F0,3C	U	16	96
U ARROW	E0,75	E0,F0,75	U ARROW	E0,48	E0,C8
V	2A	F0,2A	V	2F	AF
Volume Down	E0,21	E0,F0,21	Volume Down	E0, 2E	E0, AE
Volume Up	E0,32	E0,F0,32	Volume Up	E0, 30	E0, B0
W	1D	F0,1D	W	11	91
Wake	E0,5E	E0,F0,5E	Wake	E0, 63	E0, E3
WWW Back	E0,38	E0,F0,38	WWW Back	E0, 6A	E0, EA
WWW Favorites	E0,18	E0,F0,18	WWW Favorites	E0, 66	E0, E6
WWW Forward	E0,30	E0,F0,30	WWW Forward	E0, 69	E0, E9
WWW Home	E0,3A	E0,F0,3A	WWW Home	E0, 32	E0, B2
WWW Refresh	E0,20	E0,F0,20	WWW Refresh	E0, 67	E0, E7
WWW Search	E0,10	E0,F0,10	WWW Search	E0, 65	E0, E5
WWW Stop	E0,28	E0,F0,28	WWW Stop	E0, 68	E0, E8
X	22	F0,22	X	2D	AD
Y	35	F0,35	Y	15	95
Z	1A	F0,1A	Z	2C	AC
